PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,hour,day,month,DC_POWER_CATEGORY
4135001,16,5263.875,516.075,470.0,7066356.0,8,22,5,3
4135001,19,0.0,0.0,0.0,7139828.0,1,2,6,6
4135001,1,11787.28571,1149.942857,4550.714286,6302761.714,13,30,5,0
4135001,16,0.0,0.0,0.0,7042405.0,4,19,5,6
4135001,1,6195.125,606.925,5864.875,6195866.875,15,16,5,1
4135001,6,9920.714286,970.0571429,3528.0,7170445.0,12,3,6,5
4135001,14,0.0,0.0,0.0,7294791.0,5,1,6,6
4135001,16,0.0,0.0,0.0,7249539.0,4,16,6,6
4135001,10,8445.875,826.1125,2174.5,6389526.5,11,30,5,5
4135001,12,10816.0,1055.8,4907.285714,7224512.286,13,21,5,0
4135001,14,0.0,0.0,0.0,7374956.0,0,12,6,6
4135001,6,4443.285714,436.1,339.5714286,7167256.571,8,3,6,3
4135001,2,0.0,0.0,6656.0,7000689.0,22,16,5,6
4135001,0,9354.0,914.4857143,5539.714286,6396007.714,14,3,6,5
4135001,13,0.0,0.0,7165.0,6407683.0,20,14,6,6
4135001,9,0.0,0.0,7774.0,7243501.0,19,3,6,6
4135001,7,7785.0,762.075,1025.875,7213501.875,9,20,5,1
4135001,3,0.0,0.0,0.0,7615537.0,5,17,5,6
4135001,13,0.0,0.0,0.0,6366909.0,3,9,6,6
4135001,8,0.0,0.0,0.0,6528476.0,4,16,5,6
4135001,1,0.0,0.0,0.0,6340855.0,4,5,6,6
4135001,17,0.0,0.0,8844.0,7120696.0,22,25,5,6
4135001,1,2991.428571,293.6428571,5559.714286,6316991.714,15,1,6,4
4135001,21,11253.5,1098.6,6294.0,7218376.0,14,28,5,0
4135001,10,0.0,0.0,0.0,6476944.0,2,11,6,6
4135001,8,2447.571429,240.0142857,6262.857143,6724034.857,17,10,6,4
4135001,0,12465.85714,1215.428571,4102.714286,6340310.714,12,26,5,0
4135001,20,0.0,0.0,0.0,6514911.0,0,8,6,6
4135001,13,3944.714286,387.6,362.4285714,6386915.429,8,12,6,3
4135001,21,366.7142857,35.44285714,7.285714286,7317023.286,6,11,6,2
4135001,12,0.0,0.0,0.0,7274692.0,23,27,5,6
4135001,11,12.42857143,1.2,5586.0,6433267.0,18,31,5,2
4135001,4,10584.71429,1033.2,5063.285714,7329744.286,13,6,6,0
4135001,6,1217.625,118.4125,40.25,7140939.25,6,30,5,2
4135001,19,376.25,36.35,6.5,7097189.5,6,27,5,2
4135001,7,0.0,0.0,0.0,7342489.0,4,6,6,6
4135001,5,351.0,33.9125,4.0,7347748.0,6,3,6,2
4135001,14,0.0,0.0,0.0,7281535.0,20,29,5,6
4135001,6,0.0,0.0,8038.0,7182665.0,22,4,6,6
4135001,8,2067.285714,202.6428571,224.7142857,6522396.714,7,15,5,4
4135001,20,1825.0,178.8857143,5737.428571,6463038.429,16,31,5,4
4135001,20,0.0,0.0,0.0,6339380.0,5,15,5,6
4135001,14,0.0,0.0,5915.0,7294791.0,20,31,5,6
4135001,12,9479.625,926.9875,1721.75,7276413.75,9,28,5,5
4135001,17,2490.285714,244.2,140.8571429,7234003.857,7,10,6,4
4135001,8,0.0,0.0,0.0,6662968.0,22,2,6,6
4135001,19,5729.142857,561.4571429,470.5714286,7049731.571,8,21,5,3
4135001,4,0.0,0.0,0.0,7402595.0,1,17,6,6
4135001,12,9913.0,968.8857143,3064.285714,7402919.286,11,14,6,5
4135001,12,1250.25,121.8875,8436.125,7399795.125,17,13,6,2
4135001,19,0.0,0.0,0.0,7103885.0,4,28,5,6
4135001,13,4743.0,465.2857143,3877.285714,6418124.286,13,16,6,3
4135001,5,0.0,0.0,0.0,7232554.0,2,19,5,6
4135001,9,10847.42857,1059.628571,2204.857143,7195495.857,10,28,5,0
